year, month, imgURL
2007, 2, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBejVmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1afaf0f7ed8f9ac1e62ba148e9b25375c43f2998/co2_2007_2_0054_720x360.jpg?disposition=attachment
2007, 3, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBejlmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--87cc4c356bfbb1dff1d8a8a20e62f7119111209f/co2_2007_3_0055_720x360.jpg?disposition=attachment
2007, 4, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMEJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--fc3be4832a8035ebec794e06f666509bb564625b/co2_2007_4_0056_720x360.jpg?disposition=attachment
2007, 5, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMEZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e56c53c335287227e22b57ecaa9ad7f2f6423eb8/co2_2007_5_0057_720x360.jpg?disposition=attachment
2007, 6, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMEpmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3256e68d255d36efad7236c9d5d04f08f4982214/co2_2007_6_0058_720x360.jpg?disposition=attachment
2007, 7, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBME5mQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--70bb593c17d8b75d55a28e0260aa96bfd39ac503/co2_2007_7_0059_720x360.jpg?disposition=attachment
2007, 8, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMFJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--33d60226ee40c484d12390092e8d334b772a37f7/co2_2007_8_0060_720x360.jpg?disposition=attachment
2007, 9, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMFZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1dd9b31d613fbaed6e54060a3125fbabc051393b/co2_2007_9_0061_720x360.jpg?disposition=attachment
2007, 10, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMFpmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a5a274a237e50ec45ac4351f725786b3b815eaf5/co2_2007_10_0062_720x360.jpg?disposition=attachment
2007, 11, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMGRmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2fb3590b2956f32f41faf08102c3447dac385940/co2_2007_11_0063_720x360.jpg?disposition=attachment
